TweetID,SentimentClass-0:neutral-1:negative-2:positive,SentimentScore
'1505684689260064769,1,-0.687338172
'1505682788749660161,0,0.004980517
'1505620362595344387,1,-0.839524004
'1505590514569121797,1,-0.997660069
'1505543505728389130,1,-0.996680113
'1505526197295456260,0,0.039377955
'1505511224800329728,1,-0.784842686
'1505490689299255300,1,-0.988839393
'1505485817673883649,0,0.250458102
'1505481568164495362,0,0.210828036
'1505424839582138371,0,0.129024732
'1505252397974794246,1,-0.992948158
'1505207640065982474,0,0.006898665
'1505198493299843076,0,0.20839415
'1505074409207476235,1,-0.949944858
'1504980865285304321,0,0.00424101
'1504841796223963140,1,-0.59044778
'1504820934838042627,1,-0.986472321
'1504801804965617664,0,0.033165048
'1504725057377034264,0,0.018790415
'1504722932546822173,2,0.99196107
'1504668297375232001,0,0.0033136
'1504667197918040072,1,-0.669044624
'1504611128164470786,0,0.002126312
'1504599862691643394,0,0.041944635
'1504541627825770499,2,0.899361114
'1504525903963037704,1,-0.992152346
'1504499706969432064,1,-0.9916357
'1504437314633838597,1,-0.987309955
'1504424867134849028,0,0.028941539
'1504362050042138624,2,0.487949785
'1504352617136369665,0,0.022303797
'1504345580763594754,0,0.003877265
'1504321582021451777,1,-0.98859372
'1504255744144814082,0,0.022865334
'1504246259154141186,1,-0.689489609
'1504208494341373961,1,-0.98816749
'1504203524791492609,1,-0.864678831
'1504202330211815424,1,-0.54892132
'1504200101799018499,0,0.013031776
'1504183510290124804,0,0.004842717
'1504103765166764041,1,-0.995833767
'1504098031569981442,0,0.003317212
'1503985676777553922,1,-0.992048341
'1503985126811881474,0,0.026439742
'1503841255297626116,1,-0.962785385
'1503838703059447821,1,-0.994754399
'1503688457742438402,0,0.038633455
'1503656293323743232,1,-0.997686439
'1503622208689737728,0,0.039350136
'1503447796812292102,0,0.023017192
'1503421457757577223,0,0.184230083
'1503420578023329796,0,0.031943508
'1503419259447398404,0,0.009831518
'1503300909664714753,0,0.057289912
'1503278401100128257,1,-0.974832429
'1503277968843591680,1,-0.996915271
'1503272511353626626,0,0.153782885
'1503135474013155331,1,-0.973869356
'1503094354013003782,1,-0.997705
'1503064801404239880,0,0.081466302
'1502996857626271746,0,0.006334635
'1502731276410888198,1,-0.990580802
'1502614243518169092,1,-0.927150125
'1502611547432103936,0,0.131925056
'1502445532769402886,0,0.01175647
'1502341722935865346,1,-0.989869893
'1502302022267199492,1,-0.965781121
'1502283594248728578,0,0.005346478
'1502268612962394112,2,0.991799297
'1502221731032875011,0,0.166228775
'1502190653723271168,2,0.680247838
'1502184286551748608,0,0.052431091
'1502173732558671876,1,-0.994214611
'1502154663524667395,0,0.02689474
'1502141561009840129,0,0.070637136
'1502032681219108871,0,0.008171504
'1502012978798936075,0,0.014455728
'1501979252744413199,0,0.144534551
'1501962238302773254,1,-0.987670884
'1501938558986113026,1,-0.687338172
'1501898250529480706,1,-0.997459074
'1501880552982564870,0,0.183240723
'1501869509329698823,1,-0.998513222
'1501867281109946371,1,-0.814170805
'1501827608308244481,1,-0.990794577
'1501826671074230278,0,0.024856265
'1501822869101330433,0,0.008940311
'1501788626891550721,0,0.011980831
'1501788119330394115,1,-0.989049388
'1501670377398939652,1,-0.984483042
'1501663610430443526,2,0.967044217
'1501650052372176898,1,-0.992132777
'1501644191566286853,0,0.013912988
'1501553927539630085,1,-0.931714969
'1501523871685652485,0,0.006034645
'1501514600520503297,1,-0.948583633
'1501454949615554562,0,0.224408216
'1501447121358237708,1,-0.997706231
'1501438954410762240,1,-0.997962045
'1501426802421555203,1,-0.76161637
'1501409233711030273,0,0.028571303
'1501408510499774468,0,0.013896432
'1501407726324584449,0,0.002037211
'1501293838236803080,2,0.554217923
'1501263615898238978,0,0.009244187
'1501261696744099843,0,0.141525033
'1501245731654574080,0,0.004296776
'1501231295673683969,1,-0.981084321
'1501219272688910341,1,-0.545715545
'1501184285654622214,1,-0.974905069
'1501179916863385601,0,0.089668516
'1501172057056362500,0,0.044102894
'1501171219198099457,0,0.010654534
'1501123833830510597,1,-0.996788467
'1501117467623579648,0,0.010062566
'1501114022812397573,1,-0.989083875
'1501109419928608768,0,0.057097182
'1501094607756611586,1,-0.546576571
'1501077046168068097,1,-0.996138058
'1500942335764488195,0,0.01314194
'1500941786629513219,2,0.753615543
'1500922464620138499,1,-0.596307308
'1500917484173643780,0,0.037138844
'1500912783839408128,0,0.070559301
'1500900356099907590,1,-0.994296525
'1500896546115698694,0,0.006130853
'1500893955197743114,1,-0.998299425
'1500886485146423298,2,0.591027463
'1500879973011361796,1,-0.996538847
'1500866953556205569,0,0.043002126
'1500826295529353216,0,0.026451534
'1500825870302420993,1,-0.923994463
'1500825541502541829,1,-0.982397295
'1500825016170164232,1,-0.988764633
'1500825006858817540,1,-0.617575346
'1500808119668072451,2,0.978849523
'1500801719004975106,1,-0.711702683
'1500798139049070598,2,0.466908917
'1500772791712464903,0,0.007174172
'1500750279582572545,1,-0.544967225
'1500730729365479425,2,0.884761969
'1500703060112326659,0,0.00284706
'1500691258221674497,0,0.005878401
'1500562486961053705,0,0.002627265
'1500538461048250373,1,-0.997760471
'1500535403408932864,1,-0.986516686
'1500485302191894536,2,0.635236178
'1500462454551240704,0,0.117985817
'1500444484449959936,1,-0.977931775
'1500443393960431616,0,0.011198548
'1500408963837345797,0,0.234756055
'1500379185159839747,0,0.023923071
'1500210838166192129,1,-0.772405283
'1500198850119802885,1,-0.993019813
'1500179058893770752,1,-0.908720767
'1500169408332935168,1,-0.873242133
'1500153685090914306,1,-0.504496707
'1500097737295024128,0,0.022341645
'1500072652223954949,0,0.00507396
'1499956256349601792,1,-0.997446973
'1499795746358534149,1,-0.864616408
'1499787519747141632,0,0.008599446
'1499784429308370944,0,0.140600441
'1499771994690269195,1,-0.687338172
'1499771481550725132,0,0.065753734
'1499752927879213060,1,-0.954108476
'1499702272338677761,1,-0.998225769
'1499702157003706369,2,0.930582057
'1499688598928601088,0,0.022119011
'1499675215009308672,0,0.015711936
'1499669284745846784,1,-0.986739596
'1499650704272773121,0,0.089029329
'1499618217345654785,1,-0.99649341
'1499606321653501959,0,0.008692311
'1499606038772785157,1,-0.987587562
'1499495699330879495,0,0.012631749
'1499483438260314112,1,-0.987768674
'1499456365663825928,1,-0.954406644
'1499433356609605637,1,-0.991300053
'1499419649267613697,0,0.008613884
'1499415006785458176,1,-0.621456655
'1499401105058324481,0,0.078202179
'1499373716802789378,1,-0.836644437
'1499354284454027271,0,0.006874098
'1499339747533144067,1,-0.997000202
'1499324538248736772,1,-0.987594606
'1499321544585232386,1,-0.531990621
'1499318921555582978,0,0.015709434
'1499318186906472451,1,-0.79639088
'1499314658125262850,1,-0.998766428
'1499293175923593222,1,-0.996692181
'1499287812071464960,0,0.00249021
'1499276163507761155,1,-0.467847578
'1499247091297701888,1,-0.994998042
'1499232292908277764,1,-0.99837723
'1499107160990625795,0,0.022309192
'1499072126153859073,1,-0.476786266
'1499045503186706434,1,-0.998672712
'1499036925847609347,2,0.9755975
'1499009355252998148,1,-0.995854795
'1498969524686704640,1,-0.995074827
'1498959305097289730,0,0.0031216
'1498930400516788228,1,-0.741455048
'1498925761490833410,1,-0.996910752
'1498924665397514242,1,-0.998472235
'1498913417125666817,1,-0.967509793
'1498909753199763458,0,0.003257499
'1498893389990932487,0,0.002685374
'1498893234977886211,1,-0.996113093
'1498855401655349248,1,-0.600457569
'1498747591567228931,1,-0.908262929
'1498742529642090502,0,0.014295759
'1498731231512612867,1,-0.998758088
'1498707558189649923,1,-0.998013119
'1498660927691968520,0,0.054692669
'1498624314932961287,2,0.806146442
'1498618560192651269,1,-0.991907409
'1498594597022351362,0,0.0096304
'1498591818136621057,1,-0.563172059
'1498590955531915269,0,0.047427982
'1498590741089693697,1,-0.997915274
'1498590688786755587,0,0.0260868
'1498560430582677507,1,-0.998503827
'1498546973120544773,0,0.014652448
'1498526481751883778,0,0.060984068
'1498523746277027841,1,-0.994680344
'1498523024223571968,1,-0.998175268
'1498416338490044424,0,0.003462966
'1498400256815517696,1,-0.998719593
'1498400010655961091,1,-0.998614891
'1498388373404332038,1,-0.997326796
'1498341559376523275,1,-0.980396692
'1498320900323790857,1,-0.997736121
'1498271259976777729,0,0.014025683
'1498220251208732674,1,-0.997431814
'1498195252271849473,1,-0.976018244
'1498190294193524740,0,0.162383231
'1498143867253764098,1,-0.98740456
'1498038725569306626,1,-0.696581523
'1498033178824613890,1,-0.997501121
'1497990493157928971,0,0.014988384
'1497941908240359427,0,0.236731003
'1497931683303067651,2,0.988032734
'1497924165331992577,1,-0.732559648
'1497913851941171201,2,0.882272835
'1497902676654407682,0,0.003534915
'1497818554556723200,1,-0.997006335
'1497674670245564420,1,-0.981931311
'1497654705601847302,1,-0.997262463
'1497606441330483200,0,0.198690708
'1497513511483629568,1,-0.997060316
'1497410867352195072,0,0.175829635
'1497350870735810560,0,0.002661853
'1497261232088305669,1,-0.998544441
'1497254676294782983,1,-0.998585533
'1497249653234049042,1,-0.996215048
'1497221611086356480,1,-0.799881074
'1497195055857213440,0,0.03245167
'1497157690321113092,0,0.031699176
'1497152772583665685,1,-0.793043054
'1497132146317836288,2,0.884853292
'1497004050079961090,0,0.008506917
'1496994124083261458,1,-0.994939628
'1496982239833477133,1,-0.879169197
'1496981904981172225,0,0.179122037
'1496891639746416650,0,0.004710657
'1496868604079394819,0,0.07910734
'1496860666577264642,1,-0.956333457
'1496813008936476675,1,-0.986131529
'1496794662979325954,0,0.040498853
'1496766709671374849,1,-0.997948219
'1496765934375161856,0,0.02247472
'1496760334409170950,1,-0.993586993
'1496707242111950848,0,0.024455525
'1496595946976780296,0,0.010481095
'1496577767768473607,1,-0.995917537
'1496530355062513666,0,0.021699633
'1496528119452291072,1,-0.991381899
'1496487893002780672,1,-0.996847069
'1496484953248444421,1,-0.601646167
'1496483852788944896,1,-0.976640732
'1496479677338333188,1,-0.967758533
'1496477503434760198,1,-0.986824768
'1496470618337861637,1,-0.943712671
'1496459741249380353,0,0.014632372
'1496453724302200841,0,0.033938172
'1496450738498715651,1,-0.977242123
'1496444594225037316,1,-0.963625978
'1496428835134443522,1,-0.998764944
'1496428128713031680,1,-0.991912265
'1496421832970358787,1,-0.992658382
'1496399505100611584,0,0.009500791
'1496364152507359237,0,0.029753087
'1496318177554350082,0,0.135796909
'1496223017902477312,1,-0.995904477
'1496207844487700480,1,-0.998146281
'1496198620927963143,1,-0.994354565
'1496187690601127943,0,0.01181377
'1496178793177886720,1,-0.990785625
'1496164220983029763,0,0.005039142
'1496162421127487495,0,0.1533691
'1496122837685485572,0,0.020929816
'1496110957298438146,2,0.959555762
'1496105827668738050,0,0.014866862
'1496100825642455041,0,0.019343064
'1496079013986676738,0,0.008328467
'1496078461206679557,0,0.007441087
'1496070911593697286,0,0.014207766
'1496021696251416579,1,-0.997625283
'1496018508358033410,0,0.015049708
'1496017017610162178,1,-0.998807421
'1496016249154949122,1,-0.994433026
'1495986206273941508,0,0.004365405
'1495819533197664264,2,0.979750964
'1495817106239201284,1,-0.997908649
'1495801811688693767,1,-0.997112147
'1495801720324165633,1,-0.998391273
'1495800903554768910,2,0.991205446
'1495757109392289799,0,0.071019615
'1495734443084029952,1,-0.998403023
'1495733606349742084,1,-0.997386084
'1495729036462542850,1,-0.99150269
'1495702076919357443,0,0.051039408
'1495685151573032961,1,-0.958201943
'1495682184748965892,2,0.896078944
'1495675084484263936,1,-0.941750933
'1495620882923986945,1,-0.998576679
'1495575492598054916,1,-0.993531699
'1495551724664279042,0,0.099899299
'1495550768203583488,1,-0.98359844
'1495549324989763591,0,0.007385488
'1495549100745539587,0,0.026849085
'1495548816715665409,1,-0.99465373
'1495548652231827458,1,-0.932776252
'1495548363944640513,1,-0.97424386
'1495548119764897793,0,0.007740894
'1495547751911903244,0,0.00660346
'1495547642985730051,1,-0.862516549
'1495547551235379206,0,0.134692984
'1495547258695208962,0,0.022697548
'1495547014985224197,0,0.229967066
'1495546582162448387,0,0.075632766
'1495546296719097861,1,-0.993665244
'1495545629375930369,1,-0.998188059
'1495545422093373440,1,-0.922612368
'1495545115078758403,0,0.032078285
'1495544995553632260,0,0.245033295
'1495544804314390529,0,0.153494915
'1495544603436531720,2,0.991067926
'1495544446116679681,1,-0.994541397
'1495544369461530624,1,-0.804612204
'1495544124795232261,0,0.018499101
'1495544006004154369,1,-0.905402985
'1495543366838333440,1,-0.987970535
'1495542792290017281,1,-0.997758265
'1495542661159215108,1,-0.82329108
'1495542572193828868,0,0.004685248
'1495542267091763206,0,0.008352122
'1495542157477875714,0,0.042025971
'1495542075441483778,1,-0.986181874
'1495541898030759949,1,-0.993686018
'1495541797585625092,1,-0.972938892
'1495541656682119171,1,-0.840593193
'1495541566387142662,2,0.637991914
'1495541366486712324,1,-0.995288899
'1495541159971672067,1,-0.998166075
'1495540925258506246,0,0.001707764
'1495540819440320522,2,0.979162049
'1495540405991051268,0,0.026298075
'1495540216333049860,0,0.063984102
'1495481630571511810,1,-0.970965657
'1495459632529264642,1,-0.95357561
'1495452381491904518,1,-0.967801265
'1495436475244163078,0,0.005454374
'1495421055707619328,0,0.011623418
'1495371469123170305,1,-0.985474486
'1495352333131255814,2,0.987619817
'1495310365697224706,2,0.983141595
'1495309916092960771,1,-0.998119091
'1495293741346787331,1,-0.954291666
'1495205063966531599,1,-0.953037332
'1495166169828970502,1,-0.993086911
'1495135674244157442,0,0.007018752
'1495122479496503299,1,-0.978691857
'1495121304751595520,2,0.987831354
'1495093699059109898,1,-0.96046641
'1495070592306921483,2,0.983428243
'1495068568114892803,1,-0.994290436
'1495067534764257285,0,0.204827782
'1495063926568009730,1,-0.85579356
'1495057272011116552,0,0.024503273
'1495033727872864262,1,-0.997051885
'1495001303923183619,0,0.021639411
'1494996224935665673,1,-0.997925685
'1494981213559439360,1,-0.988468694
'1494962561019752448,0,0.016012981
'1494943157548732416,0,0.014130713
'1494941557002317824,1,-0.99884535
'1494908766319366152,1,-0.986498514
'1494899539551178754,0,0.003137015
'1494898785805385733,2,0.729253916
'1494891758341156864,0,0.101634465
'1494804594320461824,0,0.017976855
'1494760438957023237,1,-0.934641518
'1494740466193031172,2,0.95437671
'1494651388466544644,0,0.123871333
'1494651205431316485,1,-0.995890546
'1494648156486832145,0,0.014808034
'1494647611416055819,1,-0.958830837
'1494647568147570691,0,0.002828143
'1494647421292449838,2,0.953441675
'1494647108128935967,1,-0.977780892
'1494647058954870784,0,0.051975768
'1494641128632733700,1,-0.992905746
'1494640772825632768,1,-0.988057299
'1494640460488482818,1,-0.98306299
'1494639825076592642,1,-0.995535265
'1494638960840163329,0,0.011676343
'1494637918836645889,0,0.019709122
'1494637547577917440,0,0.011183845
'1494637402102632497,1,-0.997993315
'1494636887708995591,1,-0.994582875
'1494636591419166734,1,-0.998115162
'1494633634241912832,1,-0.997385393
'1494631293220442114,1,-0.997514568
'1494630998058971137,1,-0.997925573
'1494630734983794702,0,0.113600658
'1494627348813123598,1,-0.972026913
'1494627224519118853,0,0.236767439
'1494627150426779654,0,0.19766412
'1494627102766907395,0,0.122186005
'1494626713585782800,2,0.988340286
'1494626522812010501,0,0.096489373
'1494626318159429634,0,0.125343603
'1494623892262031360,1,-0.950936881
'1494623831549480960,0,0.037938044
'1494623452233445380,0,0.020666165
'1494623250340618242,1,-0.993534605
'1494623099865677826,2,0.880452711
'1494622954793144327,1,-0.893956799
'1494622742372663298,0,0.123295728
'1494622699905335305,1,-0.998070195
'1494619572061630464,0,0.032050885
'1494619169144381440,1,-0.992577218
'1494618981944209412,1,-0.940573847
'1494618521162207233,0,0.037923157
'1494618327251132416,0,0.003327897
'1494618205804974090,0,0.225570569
'1494618015714971654,1,-0.898197387
'1494617783912513537,1,-0.973375608
'1494574164237299723,1,-0.9983472
'1494573639810887686,0,0.02610405
'1494560286040379431,0,0.01208421
'1494556530632544260,1,-0.840016083
'1494553245938864139,1,-0.950816142
'1494536201491079177,1,-0.99850215
'1494415500021010433,1,-0.998581827
'1494413071271575554,0,0.041708679
'1494403339899002884,1,-0.987542716
'1494366472830861318,2,0.782172982
'1494359351204667399,0,0.010539205
'1494347312742731778,0,0.070218442
'1494344514030419969,0,0.004765707
'1494341337172242434,1,-0.997988944
'1494332786169110540,0,0.004602028
'1494311724408881157,1,-0.87094325
'1494301361621635076,1,-0.989457819
'1494269760141508614,0,0.019858989
'1494254318970707968,0,0.004605011
'1494235085360480258,0,0.202594353
'1494231498718949379,1,-0.996274674
'1494222165239074819,1,-0.995099575
'1494221314210598924,0,0.067073377
'1494211051893796868,1,-0.986579322
'1494182107849052161,0,0.024689896
'1494055268308725768,1,-0.997885856
'1494054378151583746,1,-0.919751709
'1494051999062667266,1,-0.981729289
'1494007291053490185,0,0.109730996
'1494005307231588354,1,-0.996757491
'1494003873496846336,1,-0.997580916
'1494000565323448322,1,-0.997767165
'1493992356865097736,1,-0.96426171
'1493985907162202116,0,0.246968146
'1493983993674579975,0,0.02953324
'1493974496394555400,1,-0.942074143
'1493972725718827011,0,0.197457389
'1493971174233096192,1,-0.722504585
'1493967290861342722,2,0.979228181
'1493960353587343362,1,-0.995311902
'1493955822560464896,2,0.56480324
'1493950060513660931,0,0.003456242
'1493937392780251136,1,-0.998231682
'1493935527241912320,1,-0.997709653
'1493934890680737795,1,-0.998754271
'1493927443215831040,1,-0.996516606
'1493926902142230528,0,0.09942607
'1493913073379389443,1,-0.998291632
'1493886834232934402,1,-0.984483042
'1493879142592430080,0,0.178096183
'1493877733276925955,1,-0.730138102
'1493870121026269184,0,0.121872167
'1493838994320338945,0,0.005393609
'1493825243349200904,0,0.007934147
'1493800701570560001,1,-0.995971356
'1493695909015822340,0,0.085854025
'1493681639720996865,1,-0.963639015
'1493676424967991304,1,-0.998756797
'1493669760009125898,0,0.009650487
'1493657864853934088,1,-0.992876191
'1493650885762818054,0,0.008876719
'1493640463437471750,0,0.037555545
'1493636222580891648,0,0.082832606
'1493614528642359306,2,0.815134001
'1493572065168867328,0,0.026808617
'1493559698246799360,2,0.900067122
'1493546128549326848,0,0.135464314
'1493530907604668417,0,0.142514785
'1493526299524091906,1,-0.855770288
'1493521012348145668,0,0.006061599
'1493489039181324290,1,-0.982993569
'1493446066674741250,0,0.003593319
'1493330755895939079,0,0.177494624
'1493305810713198593,1,-0.993508987
'1493294844017623041,1,-0.995935672
'1493283215641042948,1,-0.998366478
'1493249652635938821,1,-0.993176274
'1493227874878427141,0,0.114580926
'1493222020670267398,1,-0.554311501
'1493214956526972929,1,-0.997909784
'1493208488570507267,2,0.991965559
'1493184928275701760,2,0.988188263
'1493162329990696960,0,0.004157962
'1493151979710918658,2,0.980782138
'1493143223837020161,0,0.003059825
'1493133796069289985,0,0.039979669
'1493130158538113031,1,-0.997528489
'1493098869982441474,0,0.169973917
'1493084192481202184,1,-0.997809401
'1493047027827101709,0,0.053731859
'1492980005810356225,0,0.011224123
'1492951538859401219,0,0.030098233
'1492931373757308936,1,-0.994026037
'1492930422447255560,2,0.922929822
'1492904448275922945,0,0.016641929
'1492903360516743169,1,-0.997884199
'1492898983592738826,1,-0.985584845
'1492895320753287173,1,-0.998130245
'1492891929389973505,2,0.975571699
'1492888498176729094,1,-0.995773198
'1492868593880637443,1,-0.982847363
'1492861833895624709,0,0.029937554
'1492861831727173637,0,0.050775735
'1492847247574327297,0,0.003999794
'1492844510539358211,2,0.600733847
'1492843092914982913,0,0.026009912
'1492841235798798341,1,-0.998268121
'1492837583839277059,0,0.051857787
'1492833311324086275,1,-0.979418605
'1492813708166406148,0,0.005278191
'1492812083355955202,0,0.209401375
'1492798601457713153,1,-0.981616533
'1492790853420699650,0,0.003149187
'1492785524725141507,2,0.933734374
'1492784079107989504,1,-0.99757691
'1492775183458963459,1,-0.996844093
'1492760637193265152,1,-0.994991752
'1492756240983855105,1,-0.997441136
'1492736063735013376,0,0.015437821
'1492613729955033088,2,0.898236251
'1492572642028797960,1,-0.994871082
'1492547165599813635,1,-0.955236841
'1492533725191708672,0,0.020482863
'1492515097943629828,2,0.985646916
'1492503531219259394,0,0.029714659
'1492501705908531209,0,0.033821091
'1492482796136325121,0,0.016935095
'1492477594196979712,1,-0.751355877
'1492476904636665861,1,-0.998952333
'1492419557734109186,0,0.003005399
'1492411435137310724,0,0.057636674
'1492410631869370369,0,0.01616295
'1492403822416826370,1,-0.970033379
'1492398370765385729,0,0.052827162
'1492396443562397697,1,-0.956369554
'1492385756769402882,1,-0.912023421
'1492374217278562306,2,0.55101762
'1492369174777192448,1,-0.997610024
'1492255929391321091,1,-0.991625275
'1492238050511962112,1,-0.982435419
'1492226724901314571,1,-0.997722411
'1492212727372255240,0,0.042509512
'1492186534006640640,0,0.014213916
'1492165974665179145,1,-0.99526305
'1492154888582844420,1,-0.705585697
'1492154196757467136,1,-0.997387864
'1492152337447763970,1,-0.998240051
'1492151935188803588,2,0.954498921
'1492140634727235584,1,-0.996447584
'1492121954144292870,0,0.007224092
'1492108620959473668,1,-0.966321757
'1492100189527674891,0,0.051577275
'1492089732620296194,1,-0.998021232
'1492089578286682127,0,0.034489135
'1492084918423375875,2,0.545090023
'1492082549975392298,0,0.014399966
'1492072196264665116,0,0.068657918
'1492061822752546816,1,-0.987765106
'1492059035251908611,0,0.023822337
'1492058392394874889,0,0.08961007
'1492055780266229761,1,-0.990581665
'1492050539047231488,2,0.98115882
'1491999842612260865,1,-0.976854527
'1491984443996885024,1,-0.997932406
'1491973736437895188,0,0.164462703
'1491972618475524108,1,-0.997732119
'1491948614473682944,0,0.045585712
'1491934981215731724,0,0.022715186
'1491904280676257796,1,-0.991750641
'1491873186279051273,0,0.212428702
'1491867988647100426,1,-0.998532556
'1491865990971469824,1,-0.632245428
'1491864481193996291,1,-0.998979138
'1491864468200034316,1,-0.99256772
'1491861337173024771,0,0.085904324
'1491856974081839113,0,0.128345597
'1491855388429504522,2,0.978805684
'1491853085945257986,1,-0.997954054
'1491851612876427264,1,-0.903621059
'1491851490436296704,2,0.845476189
'1491841395862257669,0,0.003659918
'1491840459395813377,0,0.025123116
'1491838769133203460,0,0.026940961
'1491838574093905922,1,-0.904253391
'1491838174200532994,0,0.003427266
'1491837206801096708,0,0.005208836
'1491836948620746753,0,0.088717165
'1491836587948363777,1,-0.997061215
'1491828616170196994,2,0.973079945
'1491826924854910978,1,-0.993287992
'1491824671607635968,1,-0.970885487
'1491822305214935042,0,0.027784653
'1491818259972251654,1,-0.588544035
'1491814165383630853,1,-0.996986838
'1491803558424895495,0,0.010968015
'1491782943383109636,1,-0.970841003
'1491781685695942656,0,0.246176548
'1491762594042073100,0,0.259542646
'1491729618046533638,2,0.983758063
'1491727047080693763,1,-0.979662781
'1491726502920081410,1,-0.996882166
'1491725864077340674,0,0.037628153
'1491725411629383690,0,0.241921924
'1491723849330790400,1,-0.998014881
'1491715937745182723,1,-0.997805612
'1491710675479150592,0,0.122504802
'1491680362132656128,2,0.991152289
'1491672278500884483,1,-0.987687743
'1491671179098308609,0,0.042028929
'1491616574209507329,1,-0.898519037
'1491518076042596352,0,0.045617526
'1491495051607912456,0,0.068223029
'1491491019791208451,0,0.184268752
'1491478434849173504,0,0.190797921
'1491455068281139202,0,0.002472852
'1491437719431819264,2,0.983945361
'1491435964698607616,2,0.542357229
'1491430377277526025,1,-0.997000993
'1491406618474467329,2,0.63441283
'1491390391211683841,1,-0.998018135
'1491355749687390208,2,0.961236715
'1491348164875808768,0,0.00823544
'1491315846182240261,0,0.062972148
'1491310385940799490,1,-0.996620246
'1491295214447005696,0,0.008593451
'1491286508984500227,0,0.104559148
'1491278623873056769,2,0.77382567
'1491230368015523841,2,0.982267707
'1491140160750497792,1,-0.51833607
'1491134137310543872,0,0.028179282
'1491132621069643776,1,-0.998439631
'1491116905343512580,0,0.005767703
'1491113615621234695,1,-0.875676249
'1491073153036337154,0,0.020488845
'1491042093837414400,2,0.970183004
'1491026621528117248,0,0.048606758
'1491023847604166658,0,0.078107086
'1491020341170216966,1,-0.990094737
'1491020066825064448,1,-0.495193607
'1491018128301920266,1,-0.994788065
'1491011378357833728,1,-0.885282504
'1490983739132100610,1,-0.998427396
'1490957745788710913,1,-0.976494874
'1490957608525524997,1,-0.99656129
'1490947527050473473,1,-0.992035638
'1490924363012780033,1,-0.998266095
'1490914292442746881,2,0.952149267
'1490913192414830593,0,0.006293432
'1490821037415714816,1,-0.862827895
'1490821031430430720,0,0.005957538
'1490795219876466694,0,0.009100148
'1490790178520289281,1,-0.826848346
'1490759119371919363,1,-0.982412097
'1490746520815251462,1,-0.931473233
'1490729413910175745,1,-0.99529412
'1490719097281257473,1,-0.993403491
'1490694845836451842,1,-0.963065915
'1490688519970471937,1,-0.998304296
'1490676344522526722,0,0.002765303
'1490671270115090434,2,0.975131667
'1490665906753753089,1,-0.997315373
'1490664261248561153,1,-0.486320725
'1490657729219907586,1,-0.990696882
'1490629627609591812,1,-0.997749786
'1490619008797794308,0,0.034035987
'1490585170637905923,1,-0.998711107
'1490569888670404608,1,-0.989275371
'1490547167781658625,0,0.152730997
'1490545453724803072,0,0.254222891
'1490448644239208449,0,0.005220955
