TweetID,SentimentClass-0:neutral-1:negative-2:positive,SentimentScore
'1505678006668382215,0,0.194686849
'1505616378769944584,0,0.030482965
'1505615226678435843,1,-0.907488871
'1505597687244238851,1,-0.986869328
'1505581483783823364,1,-0.750921688
'1505574868758237185,1,-0.998104106
'1505568541667471361,1,-0.992574063
'1505541852317032459,1,-0.905577906
'1505533846745460741,1,-0.670635936
'1505514137073467392,2,0.980411811
'1505512082111963138,0,0.170521668
'1505489154058199040,0,0.012575791
'1505451714798882816,0,0.012056405
'1505451067416485892,0,0.08565815
'1505430976683511809,1,-0.838108489
'1505427947242815488,0,0.098124588
'1505253169042964489,0,0.009210734
'1505250488106819594,1,-0.914419338
'1505247082206183428,0,0.012178082
'1505206061829181440,0,0.036512385
'1505166209276387329,1,-0.963065915
'1505162078608310274,2,0.950110537
'1505158455807680518,2,0.61248624
'1505122677631197184,0,0.02142278
'1505122113648275465,0,0.022107039
'1505121370367311874,1,-0.620952373
'1505121318101995524,1,-0.998100103
'1505120678042865669,0,0.11418702
'1505117532709138432,1,-0.995523186
'1505115081356550153,2,0.989900621
'1505044881605107712,0,0.065875296
'1504934021909954572,1,-0.98802095
'1504878433788125196,0,0.004026966
'1504861963502948356,0,0.210863043
'1504853981436293121,1,-0.963625978
'1504852466348744718,1,-0.996966936
'1504786153073000448,2,0.898273696
'1504777052595105816,1,-0.997625076
'1504773001090379776,0,0.046381813
'1504772688652419073,2,0.976256806
'1504732144488308766,1,-0.992896221
'1504704396294340615,1,-0.996800421
'1504695961507053598,0,0.05491366
'1504694550547386368,1,-0.990587675
'1504665999295008775,0,0.015574785
'1504531282922983425,0,0.087196189
'1504525499321794565,0,0.007238007
'1504513717706362887,1,-0.987754635
'1504475805434331142,0,0.242846461
'1504464843616800771,0,0.015420287
'1504437139496480771,0,0.017180068
'1504436588775886851,0,0.009227844
'1504401917908295685,0,0.233183682
'1504401441653469184,0,0.101634465
'1504371256623251458,0,0.008571108
'1504356027629772804,0,0.068931113
'1504346919761588225,0,0.133819711
'1504201696288952323,0,0.246993777
'1504172812898119681,1,-0.637381239
'1504164647905202177,0,0.080107412
'1504148154840666114,1,-0.996702481
'1504146969467715584,0,0.016938846
'1504129835878260737,0,0.011107941
'1504109578602037250,0,0.114814198
'1504063659185688586,2,0.935724161
'1504061738400075777,0,0.072451687
'1504046792182312962,0,0.110930174
'1504045412633784322,1,-0.998019267
'1504044603472809994,0,0.011675777
'1504032406285733890,0,0.008801305
'1504021652421632001,1,-0.998179337
'1504013202014748672,0,0.002878119
'1504003330393219073,1,-0.996367703
'1503991807297921024,1,-0.718160968
'1503959363651788803,0,0.054796242
'1503844827615703045,1,-0.881131086
'1503821605826347014,1,-0.982397712
'1503814942172057600,1,-0.997596527
'1503814099691520006,0,0.003256474
'1503811973645058064,1,-0.99821523
'1503810318358700034,1,-0.99546548
'1503809567091736583,1,-0.997320511
'1503805932303753227,2,0.991791348
'1503797473407647744,0,0.064289948
'1503796937010597896,0,0.003661632
'1503793566287544322,1,-0.998806639
'1503793562537930753,0,0.023526193
'1503791771964350464,1,-0.998546647
'1503786973927985156,1,-0.948703211
'1503776333456977921,1,-0.985812826
'1503754058666070016,0,0.113531527
'1503753194521956353,0,0.006386844
'1503740267756670982,1,-0.997373883
'1503730069352632325,0,0.197404542
'1503726447319564288,0,0.003869372
'1503726284303699968,1,-0.997272863
'1503725950290341895,1,-0.986163992
'1503722383231827985,0,0.136639886
'1503720903519182851,0,0.017430486
'1503712584234586113,1,-0.949288188
'1503711290438598659,0,0.055685318
'1503707687321694212,2,0.916950691
'1503676302699732994,0,0.014864231
'1503673288740024320,0,0.090172397
'1503658766750953477,0,0.095833815
'1503655350574194695,0,0.023017192
'1503654815859200001,1,-0.998110478
'1503652171316961281,1,-0.998239037
'1503649128018026496,1,-0.998444579
'1503635151821103105,0,0.150109185
'1503625468884525060,1,-0.976115242
'1503618871261122563,0,0.032889421
'1503615288687960066,1,-0.980055442
'1503614316645335042,0,0.082911514
'1503604896423157761,0,0.003132109
'1503604771416068097,2,0.989049504
'1503597913217413122,1,-0.970641496
'1503595621856563203,1,-0.989892498
'1503594998197108737,0,0.015469147
'1503446984102920196,2,0.93345067
'1503444207339552774,0,0.02353151
'1503443715200851976,2,0.667475591
'1503443231572480000,0,0.125474591
'1503442719569547275,1,-0.994499606
'1503442208124547078,0,0.007106411
'1503441738895138824,1,-0.997931919
'1503441257724534785,0,0.009926072
'1503440799006089221,0,0.21705538
'1503440200520937482,2,0.446360801
'1503439527767121926,1,-0.619160725
'1503439019929178113,1,-0.991426161
'1503438037824552965,1,-0.94096926
'1503437229385043972,0,0.040746845
'1503428262504148999,1,-0.998360576
'1503427614437953541,0,0.052269447
'1503423698333839363,0,0.017976855
'1503420166989922309,2,0.98509167
'1503411745473372160,2,0.688761676
'1503411126641606658,0,0.107908308
'1503405299520131084,0,0.182045481
'1503401503985479687,1,-0.997053238
'1503391903546499076,0,0.070340791
'1503388324949630978,1,-0.823349127
'1503387759410614274,1,-0.997723619
'1503387019627614210,1,-0.943329391
'1503385425335001092,1,-0.607144087
'1503385004528787462,1,-0.847187551
'1503383976773398531,2,0.53182884
'1503382857753972739,0,0.002133864
'1503380884967370754,1,-0.998368445
'1503377997830795268,0,0.009776436
'1503377591755022351,1,-0.997209873
'1503376071722516485,0,0.097359543
'1503374534010933252,1,-0.919074489
'1503372674554372102,0,0.250242065
'1503369494474936320,1,-0.992664222
'1503330050644615172,1,-0.995277163
'1503314120984178689,1,-0.992622675
'1503305046703943680,1,-0.942822657
'1503298240174825473,2,0.969524075
'1503290034182627329,0,0.006835969
'1503246121002582017,0,0.02614883
'1503221155846627328,0,0.155712372
'1503212160557752321,0,0.010980461
'1503136089518788608,0,0.00900022
'1503093358763380737,1,-0.997407763
'1503091468877111307,1,-0.976248868
'1503080518992154629,0,0.230172585
'1503061717760319492,1,-0.691400267
'1503052064477298692,1,-0.995962669
'1503045236448276487,2,0.699876718
'1503009074379689984,1,-0.976854527
'1502989795122991105,1,-0.997603898
'1502967462882648067,2,0.673424964
'1502940229321306112,2,0.494872681
'1502920084297326597,1,-0.875455546
'1502916783921156099,0,0.121872167
'1502770143906127874,1,-0.962692482
'1502696752423571456,2,0.977950364
'1502686845657927680,0,0.224237985
'1502682476321419264,0,0.043830087
'1502682272771809285,1,-0.993942687
'1502626413240856582,0,0.019322011
'1502483060444573700,1,-0.615554295
'1502341722935865346,0,0.036675359
'1502302022267199492,0,0.043840791
'1502283594248728578,1,-0.978834767
'1502268612962394112,0,0.008850755
'1502221731032875011,0,0.025579983
'1502190653723271168,0,0.003752808
'1502184286551748608,0,0.057425674
'1502173732558671876,1,-0.927023297
'1502154663524667395,1,-0.99580219
'1502141561009840129,2,0.89165894
'1502032681219108871,1,-0.997342731
'1502012978798936075,0,0.226963159
'1501979252744413199,2,0.92504173
'1501962238302773254,0,0.010820492
'1501938558986113026,1,-0.998434635
'1501898250529480706,1,-0.996773926
'1501880552982564870,2,0.53151109
'1501872306502656001,0,0.005758386
'1501869509329698823,0,0.177675532
'1501867281109946371,0,0.130677966
'1501827608308244481,1,-0.996834548
'1501826671074230278,0,0.056864982
'1501822869101330433,1,-0.97588567
'1501788626891550721,1,-0.825495112
'1501788119330394115,1,-0.998719246
'1501670377398939652,2,0.946495333
'1501663610430443526,1,-0.987710927
'1501650052372176898,1,-0.994422861
'1501644191566286853,0,0.012609247
'1501553927539630085,0,0.190278314
'1501523871685652485,0,0.233169027
'1501514600520503297,1,-0.997760727
'1501454949615554562,1,-0.991418522
'1501447121358237708,1,-0.946908639
'1501438954410762240,1,-0.997882483
'1501426802421555203,1,-0.987794721
'1501409233711030273,0,0.070340788
'1501408510499774468,1,-0.996424657
'1501407726324584449,2,0.723254146
'1501293838236803080,0,0.004339996
'1501263615898238978,1,-0.846196551
'1501261696744099843,0,0.004502715
'1501245731654574080,1,-0.998393868
'1501231295673683969,1,-0.997911151
'1501219272688910341,1,-0.983721832
'1501184285654622214,0,0.004954494
'1501179916863385601,1,-0.997600896
'1501172057056362500,0,0.088489751
'1501171219198099457,1,-0.565351594
'1501123833830510597,1,-0.995904008
'1501117467623579648,0,0.029621929
'1501114022812397573,0,0.001751197
'1501109419928608768,0,0.003000508
'1501094607756611586,0,0.011468415
'1501077046168068097,0,0.038246527
'1500942335764488195,0,0.166968578
'1500941786629513219,1,-0.96399039
'1500922464620138499,2,0.587230818
'1500917484173643780,0,0.124882574
'1500912783839408128,0,0.015258939
'1500900356099907590,1,-0.992849097
'1500896546115698694,0,0.041390018
'1500893955197743114,1,-0.996409666
'1500886485146423298,1,-0.99802263
'1500879973011361796,2,0.88806981
'1500866953556205569,1,-0.794150447
'1500841305391390720,1,-0.855584195
'1500826295529353216,1,-0.997562883
'1500825870302420993,1,-0.997339314
'1500825541502541829,1,-0.992125255
'1500825016170164232,1,-0.532261269
'1500825006858817540,0,0.102726601
'1500808119668072451,2,0.966403567
'1500801719004975106,1,-0.997338286
'1500798139049070598,0,0.236593436
'1500772791712464903,1,-0.874794126
'1500750279582572545,1,-0.613914446
'1500730729365479425,0,0.140600441
'1500703060112326659,0,0.016308979
'1500691258221674497,0,0.210965685
'1500562486961053705,0,0.154471638
'1500538461048250373,1,-0.766347338
'1500535403408932864,2,0.572166791
'1500485302191894536,1,-0.881000745
'1500462454551240704,1,-0.995582515
'1500444484449959936,0,0.006208651
'1500443393960431616,1,-0.998190673
'1500408963837345797,1,-0.907100254
'1500379185159839747,1,-0.998550544
'1500210838166192129,0,0.003120725
'1500198850119802885,1,-0.997283738
'1500179058893770752,1,-0.997038164
'1500169408332935168,1,-0.998601117
'1500153685090914306,1,-0.997862881
'1500097737295024128,0,0.019341696
'1500072652223954949,1,-0.962856475
'1499956256349601792,0,0.08348911
'1499795746358534149,0,0.036141907
'1499787519747141632,1,-0.982044396
'1499784429308370944,2,0.973373656
'1499771994690269195,1,-0.695038141
'1499771481550725132,1,-0.997082439
'1499752927879213060,1,-0.925047677
'1499702272338677761,1,-0.982517001
'1499702157003706369,1,-0.953717707
'1499688598928601088,0,0.014276958
'1499675215009308672,1,-0.99737767
'1499669284745846784,0,0.10004966
'1499650704272773121,0,0.099983013
'1499618217345654785,0,0.029873855
'1499606321653501959,0,0.029675417
'1499606038772785157,0,0.148019492
'1499495699330879495,0,0.005060358
'1499483438260314112,1,-0.897933547
'1499456365663825928,2,0.728398729
'1499433356609605637,1,-0.996544868
'1499419649267613697,0,0.205217395
'1499415006785458176,0,0.201216545
'1499401105058324481,1,-0.608919558
'1499392222600613892,0,0.005996437
'1499373716802789378,1,-0.99688175
'1499354284454027271,1,-0.985857775
'1499339747533144067,0,0.022341645
'1499324538248736772,1,-0.984481238
'1499321544585232386,1,-0.813741131
'1499318921555582978,0,0.043457172
'1499318186906472451,1,-0.976891558
'1499314658125262850,0,0.008100865
'1499293175923593222,0,0.148898143
'1499287812071464960,1,-0.994426951
'1499276163507761155,0,0.165043269
'1499247091297701888,0,0.025021103
'1499232292908277764,0,0.09393631
'1499107160990625795,1,-0.989168759
'1499072126153859073,1,-0.99631199
'1499045503186706434,1,-0.9133789
'1499036925847609347,0,0.082250512
'1499009355252998148,0,0.052424827
'1498969524686704640,1,-0.998286339
'1498959305097289730,0,0.006505875
'1498930400516788228,1,-0.823278293
'1498925761490833410,1,-0.996308626
'1498924665397514242,0,0.046486133
'1498913417125666817,1,-0.996450677
'1498909753199763458,0,0.010090942
'1498893389990932487,0,0.013187461
'1498893234977886211,1,-0.884068288
'1498855401655349248,1,-0.998058734
'1498747591567228931,0,0.141264915
'1498742529642090502,1,-0.997866651
'1498731231512612867,0,0.258954625
'1498707558189649923,0,0.216982404
'1498660927691968520,2,0.985566626
'1498624314932961287,0,0.005841345
'1498618560192651269,1,-0.997116277
'1498594597022351362,1,-0.985858409
'1498591818136621057,0,0.005934974
'1498590955531915269,1,-0.996920713
'1498590741089693697,1,-0.996084701
'1498590688786755587,1,-0.712268175
'1498560430582677507,1,-0.994544008
'1498546973120544773,1,-0.997469328
'1498526481751883778,0,0.008354814
'1498523746277027841,1,-0.881441149
'1498523024223571968,0,0.155095973
'1498416338490044424,0,0.05394745
'1498400256815517696,1,-0.993900615
'1498400010655961091,1,-0.970093086
'1498388373404332038,1,-0.998048399
'1498341559376523275,0,0.005003116
'1498320900323790857,0,0.101634465
'1498271259976777729,1,-0.998004559
'1498220251208732674,0,0.027669689
'1498195252271849473,1,-0.998200844
